Pop size 100

            Vaccination Percentage: 0.6

            Virus Name: HIV

            Mortality Rate: 0.3

            Reproduction Rate: 0.8

            0 infected 81
0 infected 94
0 infected 75
0 infected 77
0 infected 91
0 infected 75
0 infected 89
0 infected 97
0 infected 77
0 infected 93
0 infected 70
0 infected 80
0 infected 73
0 infected 84
0 infected 85
0 infected 87
0 infected 77
0 infected 93
0 infected 81
0 infected 87
0 infected 98
0 infected 83
0 infected 82
0 infected 95
0 infected 95
0 infected 74
0 infected 96
0 infected 80
0 infected 87
0 infected 87
0 survived None
1 infected 96
1 infected 97
1 infected 80
1 infected 81
1 infected 97
1 infected 76
1 infected 93
1 infected 97
1 infected 84
1 infected 70
1 infected 77
1 infected 96
1 infected 91
1 infected 85
1 infected 75
1 infected 75
1 infected 90
1 infected 85
1 infected 73
1 infected 84
1 infected 93
1 infected 93
1 infected 70
1 survived None
2 infected 71
2 infected 74
2 infected 95
2 infected 74
2 infected 76
2 infected 72
2 infected 76
2 infected 84
2 infected 85
2 infected 85
2 infected 90
2 infected 83
2 infected 84
2 infected 95
2 infected 77
2 infected 87
2 infected 81
2 infected 98
2 infected 94
2 infected 90
2 infected 74
2 survived None
3 infected 85
3 infected 99
3 infected 79
3 infected 89
3 infected 84
3 infected 98
3 infected 82
3 infected 76
3 infected 93
3 infected 73
3 infected 90
3 infected 87
3 infected 94
3 infected 79
3 infected 85
3 infected 89
3 infected 86
3 infected 78
3 infected 74
3 infected 86
3 infected 94
3 infected 84
3 infected 96
3 survived None
4 infected 80
4 infected 83
4 infected 99
4 infected 89
4 infected 71
4 infected 85
4 infected 71
4 infected 70
4 infected 96
4 infected 81
4 infected 99
4 infected 80
4 infected 91
4 infected 88
4 infected 98
4 infected 89
4 infected 97
4 infected 96
4 infected 95
4 infected 85
4 infected 92
4 infected 79
4 infected 75
4 infected 82
4 survived None
